12403,手机游戏、手机游戏--休闲游戏,15087;9716;5874;11002;3402;10066;2059;100470;5235;104197,3M捕鱼;单机消星星;水果泡泡龙;猪猪侠之百变联盟;果汁四溅;决战黄金鲨;俄罗斯方块;坦克1990;猪猪侠爱消除;泡泡龙II
106612,手机游戏、手机游戏--休闲游戏,2649;5109;2475;8683;105596;2217;6289;10469;5254;5231,会说话的安吉拉;老爸曾是小偷;捕鱼达人2;跳跃忍者;见缝插针;史上最难强迫症游戏;愤怒的小鸟2-猴年套装;史上最牛的游戏2;愤怒的小鸟-变形金刚;会说话的狗狗本
100470,手机游戏、手机游戏--休闲游戏,11002;3402;12403;10066;2059;5235;104197;120363;5477;8229,猪猪侠之百变联盟;果汁四溅;单机忍者切水果;决战黄金鲨;俄罗斯方块;猪猪侠爱消除;泡泡龙II;泡泡女巫2;消灭星星;消灭水果
14458,手机游戏、手机游戏--跑酷游戏,4618;8128;4028;7705;4859;4807;12429;7128;8714,喜羊羊快跑;奔跑吧兄弟;熊出没2-萌宠炫飞;海绵宝宝大冒险;猪猪侠向前冲;开心酷跑-圣诞狂欢;超级玛丽酷跑;天天风之旅;大头儿子大冒险
100478,手机游戏、手机游戏--射击游戏,3551;18660;97876;8231;115650;11730;8073;14899;10973;6218,全民枪战;火线指令之诺曼底;弹弹岛2;僵尸前线3D;御龙在天;3D坦克争霸;反恐精英CMSWAT;魂斗罗进化革命;杀手2-影子阴谋;全民枪神(春节版)
12416,手机游戏、手机游戏--策略游戏,108764;11113;8882;5429;14619;25937;8375;29660;10191,沼泽派对;帝国塔防2;巨炮战队;龙骑帝国;战警-大国崛起;混沌与秩序-英雄战歌;陌陌争霸;植物僵尸全明星;战争总动员
8321,手机游戏、手机游戏--棋牌游戏,8943;14214;7229;95423;7516;14370;2289;9236;12426;6020,保皇;真人麻将;博雅德州扑克;接龙;吉祥长春麻将;JJ德州扑克;豹子王;土豪炸翻天;疯狂麻将;马上斗地主
100486,手机游戏、手机游戏--棋牌游戏,2026;4703;1453;3539;3309;5342;115450;2160;2272;2025,QQ斗地主;掼蛋;真人斗地主2;多乐保皇;斗地主;达人麻将;闲来麻将;JJ欢乐斗地主;波克斗地主;小米斗地主
12426,手机游戏、手机游戏--棋牌游戏,95423;7516;8321;14370;2289;9236;6020;8066;7815;17307,接龙;吉祥长春麻将;金游掼蛋;JJ德州扑克;豹子王;土豪炸翻天;马上斗地主;QQ麻将;开心三张;掌心牛牛
10379,手机游戏、手机游戏--策略游戏,100724;7808;5696;6818;4269;10157;8422;12188;10037;9637,丧尸之战;坦克前线-帝国OL;横扫千军;战舰帝国-舰队对战;全民主公-巅峰竞技;小小指挥官2;坦克前线帝国;城堡突袭2;小小军团;七雄争霸
118924,手机游戏、手机游戏--模拟经营,13683;8285;101756;124158;20699;118296;108327;8829;27689;118416,合战忍者村;开心农场-糖果节;猎鹿人2014;碧蓝航线;大富翁4Fun-圣诞狂欢;模拟城市-建造;城市岛屿2;抢车位;刘备磕头;植物保姆
